Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
32,8,9,2200000,"Калининградская область, Калининград, р-н Московский, Минусинская улица",,,2015,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
41,4,9,2350000,"Калининградская область, Калининград, р-н Московский, улица Олега Кошевого, 11",18,9.5,2010,1, совмещенный,1, балкон,Косметический,Блочный,Железобетонные,Котел/Квартирное отопление,Центральное
32,1,4,1500000,"Калининградская область, Калининград, р-н Московский, Судостроительная улица",20,,1972,1, совмещенный,,,Косметический,Кирпичный,,,
38,3,5,1700000,"Калининградская область, Калининград, р-н Московский, улица Дзержинского, 72А",18,6,1985,1, совмещенный,1, балкон,Без ремонта,Кирпичный,Смешанные,Центральное,Центральное
40,6,9,1700000,"Калининградская область, Калининград, р-н Московский, Интернациональная улица, 33",18,8,,,,,,,,,,
34,6,9,1650000,"Калининградская область, Калининград, р-н Московский, улица Генерала Толстикова, 15/1",19.5,5.5,1987,,,,,,Кирпичный,Железобетонные,Центральное,
30,3,5,1500000,"Калининградская область, Калининград, р-н Московский, Прибрежный мкр, улица Строительная",,,1972,1, совмещенный,,,Евроремонт,Блочный,,,
23,5,5,1295000,"Калининградская область, Калининград, р-н Московский, Ангарская улица",12.6,5,1981,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
30.9,5,5,2300000,"Калининградская область, Калининград, р-н Московский, Октябрьская улица, 17",14,7.6,1984,1, совмещенный,1, балкон,Косметический,Панельный,Смешанные,Центральное,
30,3,3,1580000,"Калининградская область, Калининград, р-н Московский, Черниговская улица, 46",,,1945,1, раздельный,1, балкон,Косметический,,,,
36,4,9,2350000,"Калининградская область, Калининград, р-н Московский, улица Николая Карамзина",,,2017,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
30,2,3,1880000,"Калининградская область, Калининград, р-н Московский, улица Степана Халтурина, 29",,,2016,1, раздельный,1, балкон,Косметический,,,,
41,8,9,2620000,"Калининградская область, Калининград, р-н Московский, Интернациональная улица, 5",19,9,2016,1, совмещенный,1, лоджия,Евроремонт,Блочный,Железобетонные,Центральное,Автономное
35,4,9,2050000,"Калининградская область, Калининград, р-н Московский, улица Левитана, 63А",14,12.2,2015,1, совмещенный,1, балкон,Косметический,,,,
21.2,1,5,1300000,"Калининградская область, Калининград, р-н Московский, Ангарская улица, 82",,,,1, совмещенный,,,,,,,
36,3,9,2350000,"Калининградская область, Калининград, р-н Московский, улица Левитана, 59к3",19,8,2012,1, совмещенный,1, балкон,Косметический,Панельный,Железобетонные,Центральное,Центральное
35,7,14,2250000,"Калининградская область, Калининград, р-н Московский, Летняя улица",,,2014,,,1, балкон,Косметический,Панельный,,,
41,8,9,2400000,"Калининградская область, Калининград, р-н Московский, Интернациональная улица",,,,1, совмещенный,1, лоджия,Евроремонт,,,,
30,11,14,1650000,"Калининградская область, Калининград, р-н Московский, Летняя улица, 72",12,9,2019,1, совмещенный,1, балкон,Без ремонта,,,,
